epoch,step,train_loss,val_loss
0,49,0.01184688601642847,
0,99,0.07219693064689636,
0,133,,0.0355629026889801
1,149,0.034235529601573944,
1,199,0.0344393327832222,
1,249,0.07486911118030548,
1,267,,0.03361343592405319
2,299,0.03761379048228264,
2,349,0.009007077664136887,
2,399,0.008107859641313553,
2,401,,0.03162136301398277
3,449,0.009539286606013775,
3,499,0.06652508676052094,
3,535,,0.029603445902466774
4,549,0.030324505642056465,
4,599,0.007891223765909672,
4,649,0.02487953193485737,
4,669,,0.02749580517411232
5,699,0.01860557124018669,
5,749,0.018345462158322334,
5,799,0.029131412506103516,
5,803,,0.025355534628033638
6,849,0.005800782702863216,
6,899,0.03891848027706146,
6,937,,0.023224294185638428
7,949,0.04714111238718033,
7,999,0.020378772169351578,
7,1049,0.010607313364744186,
7,1071,,0.021224379539489746
8,1099,0.014553291723132133,
8,1149,0.006117765326052904,
8,1199,0.0037220404483377934,
8,1205,,0.01937786303460598
9,1249,0.014976521953940392,
9,1299,0.003847020212560892,
9,1339,,0.017750419676303864
10,1349,0.0048202695325016975,
10,1399,0.004858357831835747,
10,1449,0.0026827813126146793,
10,1473,,0.016599632799625397
11,1499,0.016317494213581085,
11,1549,0.023589899763464928,
11,1599,0.004039006307721138,
11,1607,,0.015161678194999695
12,1649,0.003637969959527254,
12,1699,0.0044891610741615295,
12,1741,,0.014226787723600864
13,1749,0.029099024832248688,
13,1799,0.008455172181129456,
13,1849,0.005730006843805313,
13,1875,,0.013324066065251827
14,1899,0.010494350455701351,
14,1949,0.009193162433803082,
14,1999,0.023639868944883347,
14,2009,,0.012657039798796177
15,2049,0.011731832288205624,
15,2099,0.007833105511963367,
15,2143,,0.012128794565796852
16,2149,0.008693249896168709,
16,2199,0.009096259251236916,
16,2249,0.0068788789212703705,
16,2277,,0.011463257484138012
17,2299,0.0044938866049051285,
17,2349,0.022274259477853775,
17,2399,0.01425264123827219,
17,2411,,0.01097570825368166
18,2449,0.002814874053001404,
18,2499,0.00272582471370697,
18,2545,,0.0106391916051507
19,2549,0.003312420565634966,
19,2599,0.006341581232845783,
19,2649,0.0016646705335006118,
19,2679,,0.010164392180740833
20,2699,0.02267717942595482,
20,2749,0.002109235618263483,
20,2799,0.013213825412094593,
20,2813,,0.00978652760386467
21,2849,0.00872844085097313,
21,2899,0.002186710014939308,
21,2947,,0.009451987221837044
22,2949,0.013839693740010262,
22,2999,0.031046219170093536,
22,3049,0.020672930404543877,
22,3081,,0.009179256856441498
23,3099,0.007511754985898733,
23,3149,0.010417196899652481,
23,3199,0.018815966323018074,
23,3215,,0.008841918781399727
24,3249,0.0016598606016486883,
24,3299,0.010291696526110172,
24,3349,0.008052898570895195,
24,3349,,0.008606228046119213
25,3399,0.02194364368915558,
25,3449,0.005083723459392786,
25,3483,,0.008323009125888348
26,3499,0.0016858677845448256,
26,3549,0.011013497598469257,
26,3599,0.020120931789278984,
26,3617,,0.008061937056481838
27,3649,0.007094097323715687,
27,3699,0.0034480364993214607,
27,3749,0.0021995294373482466,
27,3751,,0.007861057296395302
28,3799,0.015278811566531658,
28,3849,0.013071845285594463,
28,3885,,0.007644397206604481
29,3899,0.001933181774802506,
29,3949,0.010684771463274956,
29,3999,0.006830904632806778,
29,4019,,0.007451938930898905
30,4049,0.006298515480011702,
30,4099,0.004047977738082409,
30,4149,0.01926569640636444,
30,4153,,0.00729881739243865
31,4199,0.01722262240946293,
31,4249,0.017826473340392113,
31,4287,,0.0071405223570764065
32,4299,0.005978165194392204,
32,4349,0.0052622416988015175,
32,4399,0.004431446082890034,
32,4421,,0.0069994842633605
33,4449,0.02212037704885006,
33,4499,0.008062797598540783,
33,4549,0.005084786098450422,
33,4555,,0.006824394688010216
34,4599,0.016247253865003586,
34,4649,0.015122191980481148,
34,4689,,0.006694579962641001
35,4699,0.01540607400238514,
35,4749,0.00392578262835741,
35,4799,0.0015288058202713728,
35,4823,,0.0065538822673261166
36,4849,0.015081215649843216,
36,4899,0.0008803338860161602,
36,4949,0.013636316172778606,
36,4957,,0.0064627304673194885
37,4999,0.004302217625081539,
37,5049,0.01559212151914835,
37,5091,,0.006334494799375534
38,5099,0.019403591752052307,
38,5149,0.012747194617986679,
38,5199,0.002781395800411701,
38,5225,,0.00629076873883605
39,5249,0.00735104363411665,
39,5299,0.026453550904989243,
39,5349,0.0038289015647023916,
39,5359,,0.006193161942064762
40,5399,0.0037337839603424072,
40,5449,0.006168602500110865,
40,5493,,0.006046604830771685
41,5499,0.007961537688970566,
41,5549,0.0050786635838449,
41,5599,0.0017399995122104883,
41,5627,,0.005959629081189632
42,5649,0.005285405553877354,
42,5699,0.02882891334593296,
42,5749,0.008087306283414364,
42,5761,,0.005983622744679451
43,5799,0.0018819826655089855,
43,5849,0.0036574136465787888,
43,5895,,0.005840199533849955
44,5899,0.008477125316858292,
44,5949,0.01816386543214321,
44,5999,0.0009369137114845216,
44,6029,,0.00573853962123394
45,6049,0.017574112862348557,
45,6099,0.007910916581749916,
45,6149,0.010686206631362438,
45,6163,,0.005796956829726696
46,6199,0.01690644398331642,
46,6249,0.0011832078453153372,
46,6297,,0.005662796553224325
47,6299,0.016773518174886703,
47,6349,0.0017469977028667927,
47,6399,0.002124092075973749,
47,6431,,0.005592110101133585
48,6449,0.005754553247243166,
48,6499,0.003411641111597419,
48,6549,0.006803398486226797,
48,6565,,0.0055854469537734985
49,6599,0.004171933047473431,
49,6649,0.01732364296913147,
49,6699,0.015352345071732998,
49,6699,,0.00549264345318079
